"","x"
"687","TEAD4"
"688","TEAD3"
"689","TEF"
"690","TFAP2A"
"691","TFAP2B"
"692","TFAP2C"
"693","TFAP4"
"694","TFCP2"
"695","NR2F1"
"696","NR2F2"
"697","TFDP1"
"698","TFDP2"
"699","TFE3"
"700","TGFB1I1"
"701","TGIF"
"702","THRA"
"703","THRB"
"704","KLF10"
"705","TIAL1"
"706","TITF1"
"707","TLE1"
"708","TLE2"
"709","TLE3"
"710","NR2E1"
"711","TMF1"
"712","TNFAIP3"
"713","TOP2B"
"714","TP53"
"715","TP53BP1"
"716","TP73"
"717","NR2C1"
"718","NR2C2"
"719","TRIP6"
"720","TRPS1"
"721","TSG101"
"722","TULP3"
"723","HIRA"
"724","TWIST1"
"725","UBP1"
"726","UBTF"
"727","NR1H2"
"728","USF1"
"729","USF2"
"730","VDR"
"731","VHL"
"732","WHSC1"
"733","WHSC2"
"734","WT1"
"735","XBP1"
"736","XPC"
"737","XRCC3"
"738","XRCC5"
"739","YY1"
"740","SF1"
"741","ZFP36"
"742","ZFP37"
"743","ZFP161"
"744","ZFPL1"
"745","ZFX"
"746","ZFY"
"747","ZIC1"
"748","ZIC2"
"749","ZIC3"
"750","ZNF2"
"751","ZNF3"
"752","ZNF6"
"753","ZNF7"
"754","ZNF8"
"755","ZNF9"
"756","ZNF10"
"757","ZNF11B"
"758","ZNF12"
"759","ZNF14"
"760","ZNF708"
"761","ZNF16"
"762","ZNF17"
"763","ZNF18"
"764","ZNF19"
"765","ZNF20"
"766","ZNF21"
"767","ZNF22"
"768","ZNF23"
"769","ZNF24"
"770","ZNF26"
"771","ZNF27"
"772","ZNF29"
"773","ZNF32"
"774","ZNF33A"
"775","ZNF35"
"776","ZKSCAN1"
"777","ZNF37A"
"778","ZNF38"
"779","ZNF41"
"780","ZNF42"
"781","ZNF43"
"782","ZNF45"
"783","ZBTB25"
"784","ZNF70"
"785","ZNF74"
"786","ZNF75"
"787","ZNF75A"
"788","ZNF76"
"789","ZNF79"
"790","ZNF80"
"791","ZNF84"
"792","ZNF221"
"793","ZNF85"
"794","ZNF90"
"795","ZNF91"
"796","ZNF117"
"797","ZNF222"
"798","ZNF121"
"799","ZNF124"
"800","ZNF131"
"801","ZNF132"
"802","ZNF133"
"803","ZNF134"
"804","ZNF135"
"805","ZNF136"
"806","ZNF137"
"807","ZNF138"
"808","ZNF140"
"809","ZNF141"
"810","ZNF142"
"811","ZNF143"
"812","PCGF2"
"813","ZBTB16"
"814","ZNF146"
"815","TRIM25"
"816","ZNF148"
"817","ZBTB17"
"818","ZNF154"
"819","ZNF155"
"820","ZNF157"
"821","ZNF161"
"822","ZNF165"
"823","ZNF174"
"824","ZNF175"
"825","ZNF177"
"826","ZNF180"
"827","ZNF184"
"828","ZNF187"
"829","ZNF189"
"830","ZNF192"
"831","ZNF193"
"832","ZNF195"
"833","ZNF198"
"834","ZNF200"
"835","ZNF202"
"836","ZNF205"
"837","ZNF207"
"838","ZNF208"
"839","ZNF213"
"840","ZNF214"
"841","ZNF215"
"842","ZNF217"
"843","ZNF223"
"844","ZNF224"
"845","ZNF225"
"846","ZNF226"
"847","ZNF227"
"848","ZNF228"
"849","ZNF229"
"850","ZNF230"
"851","ZNF232"
"852","ZNF236"
"853","PRDM2"
"854","CSDE1"
"855","BTG2"
"856","PAX8"
"857","BRPF1"
"858","DEK"
"859","RDBP"
"860","TFEB"
"861","MAFK"
"862","ZNF212"
"863","MYST3"
"864","NR4A3"
"865","LHX3"
"866","MLLT10"
"867","NCOA4"
"868","CSRP3"
"869","FOSL1"
"870","MLL2"
"871","FXR1"
"872","YEATS4"
"873","HMGA2"
"874","CART1"
"875","DPF3"
"876","TAF15"
"877","COIL"
"878","ELL"
"879","ZNF239"
"880","DPF1"
"881","NCOA3"
"882","NRIP1"
"883","LZTR1"
"884","RP13-297E16.1"
"885","SMCX"
"886","SMCY"
"887","ARID1A"
"888","TRRAP"
"889","EOMES"
"890","GFI1B"
"891","SOX14"
"892","ZNF282"
"893","NR0B2"
"894","UTF1"
"895","FOXN1"
"896","TTF2"
"897","KLF11"
"898","TEAD2"
"899","SUPT3H"
"900","SMARCA5"
"901","IKBKG"
"902","GCM1"
"903","CSDA"
"904","CBX4"
"905","BARX2"
"906","LMO4"
"907","PIR"
"908","BLZF1"
"909","BHLHB2"
"910","PIAS1"
"911","KHSRP"
"912","PDLIM4"
"913","RUVBL1"
"914","KLF7"
"915","RFXANK"
"916","TP73L"
"917","JRK"
"918","NCOA1"
"919","SFRS9"
"920","EDF1"
"921","C19orf2"
"922","EED"
"923","CREG1"
"924","TRIM24"
"925","SAP30"
"926","HESX1"
"927","HDAC3"
"928","TSC22D1"
"929","PCAF"
"930","NR1I2"
"931","LDB1"
"932","PER3"
"933","PER2"
"934","FUBP1"
"935","BUD31"
"936","PRPF4B"
"937","TIMELESS"
"938","FOXH1"
"939","PHOX2B"
"940","MBD2"
"941","FUBP3"
"942","H1FX"
"943","LIMD1"
"944","TAF1C"
"945","TAF1B"
"946","TAF1A"
"947","BAZ1B"
"948","BTAF1"
"949","AIP"
"950","PIAS2"
"951","ASH2L"
"952","LDB2"
"953","VCY"
"954","TBX19"
"955","TBX18"
"956","NMI"
"957","MTA1"
"958","PDLIM1"
"959","CBFA2T2"
"960","CTDP1"
"961","DEDD"
"962","LRRFIP1"
"963","FAIM3"
"964","MTA2"
"965","PTTG1"
"966","MSC"
"967","GCM2"
"968","ZBTB22"
"969","CRSP2"
"970","ZNF235"
"971","KLF4"
"972","COPS2"
"973","TRIP13"
"974","TRIP11"
"975","HMGN3"
"976","TRIP4"
"977","ZNHIT3"
"978","GTF3C5"
"979","GTF3C4"
"980","GTF3C3"
"981","CNOT8"
"982","TCEAL1"
"983","LHX2"
"984","ZNF265"
"985","SURB7"
"986","HAND1"
"987","ZNF264"
"988","CRSP3"
"989","CRSP6"
"990","CRSP7"
"991","CRSP8"
"992","CRSP9"
"993","FHL5"
"994","HAND2"
"995","TRFP"
"996","ONECUT2"
"997","TBX4"
"998","FXR2"
"999","TBPL1"
"1000","POLR1C"
"1001","ZNF254"
"1002","GTF2IRD1"
"1003","NR1D1"
"1004","CLOCK"
"1005","SOX13"
"1006","RNPC2"
"1007","CREB5"
"1008","NFE2L3"
"1009","RNF14"
"1010","NCOR1"
"1011","NCOR2"
"1012","ZNF592"
"1013","SH2BP1"
"1014","SAFB2"
"1015","ZNF432"
"1016","EIF5B"
"1017","PHF14"
"1018","JMJD2A"
"1019","BZW1"
"1020","ESPL1"
"1021","ST18"
"1022","ZNF646"
"1023","HDAC9"
"1024","KNTC1"
"1025","ZNF96"
"1026","MLL4"
"1027","HDAC4"
"1028","TOX"
"1029","PHF16"
"1030","BCLAF1"
"1031","MATR3"
"1032","DHX38"
"1033","SERTAD2"
"1034","MAML1"
"1035","DAZAP2"
"1036","TSC22D2"
"1037","ZNF623"
"1038","ZFHX1B"
"1039","ZBTB24"
"1040","C14orf92"
"1041","ZBTB39"
"1042","SUPT7L"
"1043","ARNT2"
"1044","ZBTB40"
"1045","ZBTB5"
"1046","HELZ"
"1047","MAFB"
"1048","THRAP3"
"1049","MED12"
"1050","THRAP1"
"1051","NR1I3"
"1052","NR1H4"
"1053","NR1D2"
"1054","DMTF1"
"1055","MED6"
"1056","NR2E3"
"1057","ZBTB33"
"1058","HDAC5"
"1059","THRAP5"
"1060","CHAF1A"
"1061","HMG2L1"
"1062","NR1H3"
"1063","PQBP1"
"1064","PREB"
"1065","ZNF263"
"1066","YAF2"
"1067","TOB1"
"1068","SFRS14"
"1069","CEBPZ"
"1070","TRIM28"
"1071","ZNF197"
"1072","ZNF256"
"1073","RBM7"
"1074","THOC4"
"1075","TSHZ1"
"1076","TOPORS"
"1077","SSX3"
"1078","OLIG2"
"1079","CTDSPL"
"1080","ZNF443"
"1081","HNRPR"
"1082","SRRM1"
"1083","DENND4A"
"1084","IRX5"
"1085","SAP18"
"1086","SNAPC5"
"1087","ZNF267"
"1088","ZNFN1A1"
"1089","TRIM22"
"1090","NPM2"
"1091","HMG20B"
"1092","HMG20A"
"1093","KLF2"
"1094","CITED2"
"1095","ISGF3G"
"1096","SCML2"
"1097","PIAS3"
"1098","RBM14"
"1099","C1D"
"1100","HAX1"
"1101","ZNF238"
"1102","HMGN4"
"1103","TADA3L"
"1104","HOXB13"
"1105","CREB3"
"1106","NCOA2"
"1107","MYBBP1A"
"1108","ZNF211"
"1109","DEAF1"
"1110","HTATIP"
"1111","BATF"
"1112","HTATIP2"
"1113","DRAP1"
"1114","MXD4"
"1115","HEXIM1"
"1116","C20orf18"
"1117","ARID3B"
"1118","POLR3F"
"1119","POLR3C"
"1120","IVNS1ABP"
"1121","TRIM16"
"1122","TAF6L"
"1123","RGS14"
"1124","DMRT2"
"1125","KHDRBS1"
"1126","LBX1"
"1127","KLF1"
"1128","CTCF"
"1129","GMEB1"
"1130","TBR1"
"1131","NFAT5"
"1132","TCFL5"
"1133","SIX2"
"1134","RAI1"
"1135","PHTF1"
"1136","JARID1B"
"1137","ZMYND11"
"1138","FUSIP1"
"1139","ZBTB6"
"1140","ZNF271"
"1141","ZNF234"
"1142","ZNF266"
"1143","ZNF274"
"1144","ZNF273"
"1145","ZNF272"
"1146","ZNF268"
"1147","ZNF275"
"1148","SRCAP"
"1149","RUVBL2"
"1150","PPARGC1A"
"1151","BRD8"
"1152","PAPOLA"
"1153","TCERG1"
"1154","EHMT2"
"1155","RNPS1"
"1156","SUB1"
"1157","SFRS2B"
"1158","MORF4"
"1159","MSL3L1"
"1160","ASCC3"
"1161","COPS5"
"1162","ATF7"
"1163","RY1"
"1164","VAX1"
"1165","ALF"
"1166","WWP1"
"1167","SOX30"
"1168","CEP110"
"1169","TRIM31"
"1170","HSF2BP"
"1171","DIDO1"
"1172","HNRPUL1"
"1173","PRDM7"
"1174","PRDM5"
"1175","PRDM4"
"1176","POLR3A"
"1177","SFRS16"
"1178","PWP1"
"1179","MYST2"
"1180","SOX21"
"1181","PSIP1"
"1182","WDHD1"
"1183","BAZ1A"
"1184","LZTS1"
"1185","ZNF277"
"1186","TNRC4"
"1187","SUPT16H"
"1188","DDX20"
"1189","ZHX1"
"1190","SP140"
"1191","KLF12"
"1192","KLF8"
"1193","POU6F2"
"1194","RBPSUHL"
"1195","ECD"
"1196","PHB2"
"1197","CBX3"
"1198","TFEC"
"1199","ZNFN1A3"
"1200","ZNFN1A2"
"1201","ATF5"
"1202","MTF2"
"1203","RBM16"
"1204","ZNF409"
"1205","ZFP30"
"1206","ZNF507"
"1207","KIAA0863"
"1208","ZNF510"
"1209","MLXIP"
"1210","ANKRD6"
"1211","ZHX2"
"1212","FOXJ3"
"1213","ZBTB1"
"1214","ATF6"
"1215","HABP4"
"1216","SIRT2"
"1217","ELL2"
"1218","SNW1"
"1219","DUX4"
"1220","TRIM32"
"1221","SCMH1"
"1222","DIP2C"
"1223","PDCD11"
"1224","FBXL11"
"1225","KIAA0194"
"1226","SPEN"
"1227","JMJD2B"
"1228","ZNF292"
"1229","MYT1L"
"1230","ZHX3"
"1231","NCOA6"
"1232","JMJD2C"
"1233","ZNF423"
"1234","ZBTB43"
"1235","TBC1D2B"
"1236","HIC2"
"1237","PHF8"
"1238","CIC"
"1239","C19orf7"
"1240","ANKS1A"
"1241","SIN3B"
"1242","SATB2"
"1243","CUTL2"
"1244","PHF15"
"1245","CRTC1"
"1246","ADNP"
"1247","SIRT5"
"1248","SIRT4"
"1249","SIRT3"
"1250","SIRT1"
"1251","ZFPM2"
"1252","RYBP"
"1253","TARDBP"
"1254","HEY1"
"1255","CBX6"
"1256","PHF3"
"1257","CBX7"
"1258","HEY2"
"1259","SUZ12"
"1260","MYST4"
"1261","ZNF281"
"1262","SEC14L2"
"1263","RBM9"
"1264","ZNF278"
"1265","ZIM2"
"1266","SPO11"
"1267","SSBP2"
"1268","SSBP3"
"1269","TRIM29"
"1270","ZFP95"
"1271","MAFF"
"1272","BRD1"
"1273","TBC1D22A"
"1274","RAD54B"
"1275","FBXO7"
"1276","ZNF324"
"1277","SPDEF"
"1278","VAX2"
"1279","CCRN4L"
"1280","POU2F3"
"1281","ZNF345"
"1282","POLR1A"
"1283","ZNF473"
"1284","RNF19"
"1285","AHCTF1"
"1286","COBRA1"
"1287","WWTR1"
"1288","SIN3A"
"1289","ZNF385"
"1290","ANKRD25"
"1291","MIZF"
"1292","ZZZ3"
"1293","L3MBTL"
"1294","ZNF451"
"1295","CHD5"
"1296","SS18L1"
"1297","SETBP1"
"1298","ZNF500"
"1299","RAI14"
"1300","PYGO1"
"1301","ZBTB20"
"1302","IRF2BP1"
"1303","PHF19"
"1304","ZNF337"
"1305","GMEB2"
"1306","NKX2-8"
"1307","ANKRD2"
"1308","MYCBP"
"1309","EHF"
"1310","LHX6"
"1311","P8"
"1312","HEYL"
"1313","AATF"
"1314","DUX3"
"1315","HBP1"
"1316","ZNF285"
"1317","ZRF1"
"1318","FOXD3"
"1319","FOXB1"
"1320","ZBTB32"
"1321","SND1"
"1322","ANKRD1"
"1323","FOXP1"
"1324","TAF5L"
"1325","ZBTB11"
"1326","AFF4"
"1327","BRPF3"
"1328","SALL3"
"1329","CSDC2"
"1330","VENTX"
"1331","HNRNPG-T"
"1332","ZNF544"
"1333","RBMX"
"1334","TNRC9"
"1335","ZNF638"
"1336","HTATSF1"
"1337","HIPK2"
"1338","KLF15"
